filename,angle,region,sharpness_lap,rice_coverage,specular,reflection,quality_score
Tanzania__109_subset_overlap_1_1.jpg,front,Tanzania,2478,0.2583,0.00868,0.0072,8.279
Tanzania__97_subset_overlap_1_0.jpg,front,Tanzania,2138,0.3154,0.00903,0.0106,8.259
India__IMG_0600_subset_overlap_1_1.jpg,front,India,1808,0.4103,0.01384,0.0127,8.225
India__IMG_0643_subset_overlap_0_1.jpg,front,India,1562,0.4252,0.00866,0.0132,8.217
India__IMG_0572_subset_overlap_1_1.jpg,front,India,1691,0.3486,0.00459,0.0129,8.212
India__IMG_0606_subset_overlap_0_1.jpg,front,India,1458,0.3868,0.00517,0.0062,8.212
Tanzania__76_subset_overlap_1_1.jpg,front,Tanzania,1581,0.473,0.00581,0.0095,8.194
Tanzania__109_subset_overlap_1_0.jpg,front,Tanzania,1836,0.3019,0.00491,0.0089,8.184
India__IMG_0646_subset_overlap_1_1.jpg,front,India,1482,0.3716,0.00344,0.0134,8.17
India__IMG_0690_subset_overlap_0_1.jpg,front,India,1658,0.4616,0.00717,0.0223,8.137
Tanzania__76_subset_overlap_0_1.jpg,front,Tanzania,1370,0.3581,0.00358,0.0031,8.132
India__IMG_0611_subset_overlap_0_1.jpg,front,India,1199,0.4417,0.00209,0.0068,8.121
India__IMG_0619_subset_overlap_0_1.jpg,front,India,1271,0.4451,0.00525,0.0037,8.116
China-JL__JL_IMG_3568_subset_overlap_1_1.jpg,front,China/JL,1627,0.5502,0.00428,0.0004,8.113
Tanzania__109_subset_overlap_0_0.jpg,front,Tanzania,1808,0.3144,0.00838,0.0101,8.108
India__IMG_0560_subset_overlap_1_1.jpg,front,India,1503,0.3892,0.00679,0.0193,8.104
India__IMG_0572_subset_overlap_0_1.jpg,front,India,1370,0.4528,0.00576,0.0109,8.098
India__IMG_0662_subset_overlap_1_0.jpg,front,India,1603,0.5321,0.0037,0.0097,8.09
India__DSC00315_subset_overlap_0_1.jpg,front,India,1141,0.4177,0.00196,0.0121,8.088
India__DSC00284_subset_overlap_1_1.jpg,front,India,1424,0.3727,0.00046,0.03,8.076
India__IMG_0647_subset_overlap_1_1.jpg,front,India,1524,0.473,0.00534,0.022,8.069
India__IMG_0611_subset_overlap_1_1.jpg,front,India,1602,0.4361,0.00474,0.0444,8.06
India__IMG_0658_subset_overlap_0_0.jpg,front,India,1838,0.3691,0.01761,0.0091,8.059
India__DSC00291_subset_overlap_1_1.jpg,front,India,1441,0.3777,0.0019,0.031,8.058
India__IMG_0665_subset_overlap_1_0.jpg,front,India,1137,0.449,0.0031,0.0035,8.049
India__IMG_0640_subset_overlap_0_1.jpg,front,India,1528,0.4443,0.0106,0.0224,8.019
India__DSC00281_subset_overlap_1_1.jpg,front,India,1213,0.3829,0.00148,0.0177,8.017
India__IMG_0631_subset_overlap_1_1.jpg,front,India,1331,0.4251,0.01144,0.0101,8.013
India__IMG_0603_subset_overlap_0_1.jpg,front,India,1825,0.4107,0.01853,0.0259,8.013
Tanzania__103_subset_overlap_1_1.jpg,front,Tanzania,1975,0.2113,0.00563,0.0054,8.009
Tanzania__97_subset_overlap_1_1.jpg,front,Tanzania,2213,0.3793,0.01828,0.0406,8.005
India__IMG_0625_subset_overlap_0_1.jpg,front,India,1208,0.4261,0.0057,0.0167,8.004
Tanzania__103_subset_overlap_1_0.jpg,front,Tanzania,1889,0.2283,0.00645,0.004,8.003
Tanzania__79_subset_overlap_0_1.jpg,front,Tanzania,1441,0.289,0.00291,0.003,8.003
India__IMG_0603_subset_overlap_1_1.jpg,front,India,1989,0.3778,0.01374,0.0416,7.999
India__IMG_0616_subset_overlap_1_0.jpg,front,India,1062,0.4226,0.00388,0.009,7.992
India__IMG_0621_subset_overlap_0_1.jpg,front,India,1236,0.4082,0.00806,0.0119,7.99
India__IMG_0619_subset_overlap_0_0.jpg,front,India,1249,0.3967,0.00766,0.0105,7.989
China-GD__IMG_5082_subset_overlap_2_4.jpg,front,China/GD,2104,0.5977,0.0074,0.0216,7.986
Tanzania__97_subset_overlap_0_0.jpg,front,Tanzania,1695,0.3432,0.01153,0.0178,7.986
India__IMG_0612_subset_overlap_1_0.jpg,front,India,1334,0.4421,0.0095,0.0139,7.985
India__IMG_0652_subset_overlap_1_1.jpg,front,India,1248,0.4155,0.00881,0.0143,7.983
India__DSC00281_subset_overlap_0_0.jpg,front,India,1414,0.3403,0.00032,0.031,7.972
Tanzania__91_subset_overlap_1_1.jpg,front,Tanzania,1490,0.2999,0.00546,0.0078,7.965
Tanzania__USER4391_subset_overlap_1_0.jpg,front,Tanzania,1403,0.4336,0.01099,0.0215,7.962
China-HUN__HUN_DSC01905_subset_overlap_1_0.jpg,front,China/HUN,1006,0.372,0.00063,0.0002,7.96
India__IMG_0588_subset_overlap_0_1.jpg,front,India,1683,0.3882,0.01215,0.0348,7.956
India__IMG_0635_subset_overlap_1_0.jpg,front,India,1555,0.2819,0.0066,0.0051,7.949
India__IMG_0659_subset_overlap_1_0.jpg,front,India,1345,0.4747,0.00873,0.0103,7.948
India__IMG_0643_subset_overlap_1_1.jpg,front,India,2096,0.3252,0.01979,0.0169,7.948
China-GD__IMG_5014_subset_overlap_0_4.jpg,front,China/GD,1122,0.3904,0.00204,0.0185,7.94
India__IMG_0651_subset_overlap_1_1.jpg,front,India,1434,0.3925,0.01306,0.0162,7.934
India__IMG_0578_subset_overlap_0_0.jpg,front,India,1307,0.3276,0.00584,0.005,7.926
Tanzania__79_subset_overlap_1_1.jpg,front,Tanzania,1501,0.2647,0.00411,0.0053,7.926
India__IMG_0626_subset_overlap_0_1.jpg,front,India,1637,0.4359,0.01514,0.0331,7.913
India__IMG_0608_subset_overlap_0_1.jpg,front,India,1856,0.3804,0.01711,0.0349,7.907
India__DSC00279_subset_overlap_0_1.jpg,front,India,1125,0.4638,0.00157,0.0196,7.905
China-JS_4__12_subset_overlap_1_0.jpg,front,China/JS_4,825,0.418,0.00021,0.0003,7.903
Tanzania__114_subset_overlap_1_0.jpg,front,Tanzania,2583,0.1877,0.01742,0.0125,7.858
China-GD__IMG_5049_subset_overlap_4_4.jpg,front,China/GD,1105,0.5423,0.00179,0.0003,7.812
China-GD__IMG_5054_subset_overlap_4_3.jpg,front,China/GD,1013,0.5141,0.00098,0.0021,7.812
China-JS_4__17_subset_overlap_1_0.jpg,front,China/JS_4,1021,0.3899,0.00841,0.005,7.793
Tanzania__USER4391_subset_overlap_1_1.jpg,front,Tanzania,1461,0.3456,0.01355,0.0249,7.737
China-JL__JL_IMG_4847_subset_overlap_1_0.jpg,front,China/JL,983,0.5147,0.00184,0.006,7.727
China-HUN__HUN_DSC01917_subset_overlap_0_0.jpg,front,China/HUN,856,0.4788,0.00209,0.0022,7.715
Tanzania__109_subset_overlap_0_1.jpg,front,Tanzania,1963,0.2777,0.01707,0.0336,7.681
Tanzania__103_subset_overlap_0_0.jpg,front,Tanzania,1381,0.2576,0.00742,0.0131,7.677
Tanzania__79_subset_overlap_0_0.jpg,front,Tanzania,1423,0.2559,0.00888,0.0142,7.657
Tanzania__USER4337_subset_overlap_0_0.jpg,front,Tanzania,1138,0.2889,0.0072,0.0082,7.618
China-JS_4__12_subset_overlap_1_1.jpg,front,China/JS_4,644,0.4017,0.00121,0.0013,7.576
Tanzania__USER4391_subset_overlap_0_1.jpg,front,Tanzania,1286,0.4417,0.01775,0.035,7.575
Tanzania__91_subset_overlap_1_0.jpg,front,Tanzania,1399,0.3524,0.01758,0.031,7.564
Tanzania__76_subset_overlap_1_0.jpg,front,Tanzania,1852,0.1927,0.01386,0.0222,7.551
Tanzania__103_subset_overlap_0_1.jpg,front,Tanzania,1527,0.1961,0.0108,0.0142,7.508
Tanzania__79_subset_overlap_1_0.jpg,front,Tanzania,1658,0.2294,0.01588,0.0272,7.455
China-GD__IMG_5051_subset_overlap_4_5.jpg,front,China/GD,1000,0.6389,0.00196,0.001,7.426
China-JL__JL_IMG_3730_subset_overlap_1_1.jpg,front,China/JL,693,0.3608,0.00658,0.0009,7.402
China-JL__JL_IMG_3730_subset_overlap_0_1.jpg,front,China/JL,801,0.3518,0.01217,0.0005,7.384
China-HUN__HUN_DSC02034_subset_overlap_0_0.jpg,front,China/HUN,531,0.4019,0.00178,0.0001,7.379
China-GD__IMG_5051_subset_overlap_4_4.jpg,front,China/GD,813,0.6081,0.00093,0.0025,7.321
China-JS_4__14_subset_overlap_1_0.jpg,front,China/JS_4,571,0.3796,0.00406,0.003,7.308
China-HUN__HUN_DSC00383_subset_overlap_0_0.jpg,front,China/HUN,635,0.3855,0.01084,0.0033,7.26
China-JS_4__14_subset_overlap_1_1.jpg,front,China/JS_4,582,0.4908,0.00444,0.0011,7.246
China-GD__IMG_5122_subset_overlap_4_5.jpg,front,China/GD,654,0.5344,0.0044,0.0018,7.233
Japan-TKO_2__2014_0723_080047_subset_overlap_1_0.jpg,front,Japan/TKO_2,507,0.3736,0.00119,0.0136,7.159
China-JL__JL_IMG_3704_subset_overlap_1_1.jpg,front,China/JL,664,0.5741,0.00447,0.0007,7.142
Japan-TKO_2__2014_0712_080213_subset_overlap_1_0.jpg,front,Japan/TKO_2,560,0.3635,0.00515,0.0127,7.138
China-HUN__HUN_DSC00383_subset_overlap_0_1.jpg,front,China/HUN,533,0.5469,0.00134,0.0,7.084
China-JS_2__21JSsub_15_subset_overlap_3_5.jpg,front,China/JS_2,405,0.4058,0.0005,0.0088,7.083
Japan-TKO_2__2014_0714_080215_subset_overlap_1_0.jpg,front,Japan/TKO_2,553,0.3614,0.00748,0.0126,7.061
China-JS_4__3_subset_overlap_0_0.jpg,front,China/JS_4,743,0.2332,0.00815,0.0063,7.025
China-HUN__HUN_DSC07066_subset_overlap_1_0.jpg,front,China/HUN,611,0.5662,0.0052,0.0062,7.02
China-HUN__HUN_DSC02034_subset_overlap_1_1.jpg,front,China/HUN,411,0.3981,0.00563,0.0,7.017
Japan-TKO_2__2014_0805_080030_subset_overlap_0_1.jpg,front,Japan/TKO_2,349,0.4166,0.0014,0.0012,7.005
China-JS_1__20JSs0_8_subset_overlap_3_5.jpg,front,China/JS_1,552,0.3186,0.00126,0.0247,6.996
Japan-TKO_2__2014_0723_080047_subset_overlap_0_0.jpg,front,Japan/TKO_2,476,0.4301,0.00631,0.0233,6.995
Japan-TKO_2__2014_0714_080215_subset_overlap_1_1.jpg,front,Japan/TKO_2,409,0.3544,0.00051,0.0051,6.975
Japan-TKO_2__2014_0726_080036_subset_overlap_0_0.jpg,front,Japan/TKO_2,403,0.3808,0.00391,0.0054,6.95
China-HUN__HUN_DSC02034_subset_overlap_1_0.jpg,front,China/HUN,337,0.4275,0.00193,0.0003,6.95
Japan-TKO_2__2014_0803_080044_subset_overlap_1_0.jpg,front,Japan/TKO_2,378,0.4771,0.00161,0.0012,6.924
China-GD__IMG_5104_subset_overlap_3_4.jpg,front,China/GD,732,0.6969,0.00224,0.0039,6.918
China-HB__HB16_subset_overlap_1_4.jpg,front,China/HB,659,0.6911,0.0004,0.0012,6.898
Japan-TKO_2__2014_0727_080045_subset_overlap_1_0.jpg,front,Japan/TKO_2,357,0.3909,0.00431,0.001,6.882
Japan-TKO_2__2014_0713_080213_subset_overlap_1_0.jpg,front,Japan/TKO_2,440,0.3571,0.00496,0.0134,6.878
Japan-TKO_2__2014_0804_080222_subset_overlap_1_0.jpg,front,Japan/TKO_2,413,0.4671,0.00645,0.0073,6.873
Japan-TKO_2__2014_0804_080030_subset_overlap_0_1.jpg,front,Japan/TKO_2,364,0.3765,0.00297,0.0042,6.869
Japan-TKO_2__2014_0719_080216_subset_overlap_1_0.jpg,front,Japan/TKO_2,304,0.4229,0.00104,0.0034,6.859
Japan-TKO_2__2014_0714_080215_subset_overlap_0_0.jpg,front,Japan/TKO_2,442,0.3114,0.00209,0.0089,6.859
Japan-TKO_2__2014_0716_080215_subset_overlap_1_1.jpg,front,Japan/TKO_2,371,0.3464,0.00164,0.0018,6.853
Japan-TKO_2__2014_0728_080222_subset_overlap_1_0.jpg,front,Japan/TKO_2,317,0.3997,0.00189,0.0008,6.849
Japan-TKO_2__2014_0807_080028_subset_overlap_0_1.jpg,front,Japan/TKO_2,325,0.4321,0.00373,0.002,6.844
Japan-TKO_2__2014_0803_080044_subset_overlap_1_1.jpg,front,Japan/TKO_2,377,0.3518,0.00284,0.0033,6.842
Japan-TKO_2__2014_0819_080330_subset_overlap_0_1.jpg,front,Japan/TKO_2,388,0.388,0.00486,0.0139,6.838
Japan-TKO_2__2014_0715_080215_subset_overlap_1_0.jpg,front,Japan/TKO_2,418,0.352,0.00515,0.0101,6.834
Japan-TKO_2__2014_0716_080215_subset_overlap_1_0.jpg,front,Japan/TKO_2,392,0.3438,0.00327,0.0068,6.821
Japan-TKO_2__2014_0714_080215_subset_overlap_0_1.jpg,front,Japan/TKO_2,388,0.3263,0.00192,0.0063,6.798
Japan-TKO_2__2014_0802_080222_subset_overlap_1_1.jpg,front,Japan/TKO_2,382,0.3635,0.00478,0.0093,6.792
Japan-TKO_2__2014_0729_080312_subset_overlap_1_0.jpg,front,Japan/TKO_2,392,0.4684,0.00927,0.0018,6.788
Japan-TKO_2__2014_0803_080031_subset_overlap_0_1.jpg,front,Japan/TKO_2,416,0.3942,0.01142,0.0107,6.788
China-HUN__HUN_DSC01917_subset_overlap_0_1.jpg,front,China/HUN,604,0.5888,0.00246,0.0347,6.784
Japan-TKO_2__2014_0713_080213_subset_overlap_1_1.jpg,front,Japan/TKO_2,358,0.3345,0.00074,0.0047,6.782
China-JS_4__17_subset_overlap_0_1.jpg,front,China/JS_4,740,0.2119,0.01504,0.0081,6.773
China-JS_1__20JSs0_8_subset_overlap_5_7.jpg,front,China/JS_1,372,0.3282,0.00127,0.007,6.771
Japan-TKO_2__2014_0716_080209_subset_overlap_0_1.jpg,front,Japan/TKO_2,303,0.4171,0.00488,0.0028,6.766
Japan-TKO_2__2014_0807_080041_subset_overlap_1_1.jpg,front,Japan/TKO_2,332,0.4889,0.00156,0.0016,6.758
Japan-TKO_2__2014_0715_080215_subset_overlap_0_0.jpg,front,Japan/TKO_2,363,0.3374,0.00164,0.0082,6.755
Japan-TKO_2__2014_0803_080044_subset_overlap_0_1.jpg,front,Japan/TKO_2,303,0.3896,0.00234,0.0023,6.755
Japan-TKO_2__2014_0727_080034_subset_overlap_0_0.jpg,front,Japan/TKO_2,341,0.4159,0.00975,0.0036,6.749
China-JS_4__14_subset_overlap_0_0.jpg,front,China/JS_4,537,0.2541,0.00891,0.0058,6.744
Japan-TKO_2__2014_0716_080215_subset_overlap_0_1.jpg,front,Japan/TKO_2,338,0.3544,0.00294,0.0042,6.732
Japan-TKO_2__2014_0712_080213_subset_overlap_0_0.jpg,front,Japan/TKO_2,538,0.2825,0.00623,0.0277,6.719
Japan-TKO_2__2014_0806_080042_subset_overlap_1_1.jpg,front,Japan/TKO_2,406,0.4608,0.01382,0.0037,6.717
Japan-TKO_2__2014_0819_080330_subset_overlap_0_0.jpg,front,Japan/TKO_2,317,0.4933,0.00099,0.0016,6.714
China-HUN__HUN_DSC02034_subset_overlap_0_1.jpg,front,China/HUN,462,0.6374,0.00145,0.0004,6.677
China-HUN__HUN_DSC01940_subset_overlap_1_0.jpg,front,China/HUN,647,0.7359,0.00603,0.0021,6.604
China-JS_4__14_subset_overlap_0_1.jpg,front,China/JS_4,513,0.2294,0.01098,0.0028,6.601
China-HUN__HUN_DSC01204_subset_overlap_0_1.jpg,front,China/HUN,484,0.6243,0.00775,0.0014,6.596
China-GD__IMG_5087_subset_overlap_4_6.jpg,front,China/GD,331,0.5605,0.00034,0.0007,6.591
China-LN__LN_6ba4bd4983d55f5f876c60628229047_subset_overlap_1_0.jpg,front,China/LN,808,0.7778,0.00177,0.0317,6.575
China-HUN__HUN_DSC01959_subset_overlap_1_1.jpg,front,China/HUN,448,0.6471,0.00348,0.0021,6.555
China-HUN__HUN_DSC01959_subset_overlap_0_0.jpg,front,China/HUN,692,0.7311,0.01654,0.0033,6.412
China-JS_1__20JSs0_7_subset_overlap_4_6.jpg,front,China/JS_1,322,0.2256,0.00105,0.0021,6.378
China-HUN__HUN_DSC01896_subset_overlap_1_1.jpg,front,China/HUN,331,0.5448,0.00968,0.0079,6.343
China-JS_1__20JSs0_8_subset_overlap_2_7.jpg,front,China/JS_1,338,0.1852,0.00055,0.0123,6.243
